source	age	pdens
c14bazAAR	41400	35.12500623406372
c14bazAAR	41300	35.91740249574213
c14bazAAR	41200	36.043646874061594
c14bazAAR	41100	34.19646106904622
c14bazAAR	41000	32.32249608227667
c14bazAAR	40900	31.46380771708403
c14bazAAR	40800	31.437850734745744
c14bazAAR	40700	31.63026200218332
c14bazAAR	40600	31.66022658282851
c14bazAAR	40500	31.818747824911245
c14bazAAR	40400	32.705660805755066
c14bazAAR	40300	33.43116422783299
c14bazAAR	40200	33.7819027023387
c14bazAAR	40100	33.93445092858694
c14bazAAR	40000	33.22329387691942
c14bazAAR	39900	31.914337541269113
c14bazAAR	39800	31.259864037410026
c14bazAAR	39700	31.087486514542213
c14bazAAR	39600	31.062437497581048
c14bazAAR	39500	31.0702732990159
c14bazAAR	39400	31.4834773276247
c14bazAAR	39300	32.68905087066228
c14bazAAR	39200	32.43105258715599
c14bazAAR	39100	29.239639730196416
c14bazAAR	39000	27.571954393264303
c14bazAAR	38900	27.082499682780345
c14bazAAR	38800	26.88479613531508
c14bazAAR	38700	26.794684159937734
c14bazAAR	38600	26.738999643879637
c14bazAAR	38500	26.59635950103085
c14bazAAR	38400	26.513062212692812
c14bazAAR	38300	26.60863718079298
c14bazAAR	38200	26.8489114864272
c14bazAAR	38100	27.108548164346296
c14bazAAR	38000	27.211061155687588
c14bazAAR	37900	27.111573197349077
c14bazAAR	37800	27.17120339700952
c14bazAAR	37700	28.03297803966476
c14bazAAR	37600	30.573533866780217
c14bazAAR	37500	33.76830547407719
c14bazAAR	37400	35.00495287696995
c14bazAAR	37300	35.41271768227205
c14bazAAR	37200	35.672932564613774
c14bazAAR	37100	36.32099571950671
c14bazAAR	37000	38.28470884743618
c14bazAAR	36900	41.06320042481383
c14bazAAR	36800	43.30165421649491
c14bazAAR	36700	44.9225653853469
c14bazAAR	36600	46.750406611813986
c14bazAAR	36500	49.46640405242091
c14bazAAR	36400	53.38504177676183
c14bazAAR	36300	56.48450786265739
c14bazAAR	36200	54.89350900137072
c14bazAAR	36100	52.060558615860174
c14bazAAR	36000	49.83117596060373
c14bazAAR	35900	48.45897937984217
c14bazAAR	35800	47.729411332654465
c14bazAAR	35700	46.749777970993506
c14bazAAR	35600	45.80969124322398
c14bazAAR	35500	45.575094788038136
c14bazAAR	35400	45.751581218701936
c14bazAAR	35300	43.879920589717955
c14bazAAR	35200	40.92610568652431
c14bazAAR	35100	40.34033579329526
c14bazAAR	35000	40.39784140649773
c14bazAAR	34900	40.394193560734166
c14bazAAR	34800	40.57135102902752
c14bazAAR	34700	41.71937901947676
c14bazAAR	34600	43.91422083637421
c14bazAAR	34500	46.58213576413045
c14bazAAR	34400	45.450026681334336
c14bazAAR	34300	41.87406394350378
c14bazAAR	34200	38.61914114392963
c14bazAAR	34100	36.32366932523395
c14bazAAR	34000	35.05362837377022
c14bazAAR	33900	34.232638896995255
c14bazAAR	33800	33.47527989699894
c14bazAAR	33700	32.9405979280078
c14bazAAR	33600	32.931361296589614
c14bazAAR	33500	32.880092837968895
c14bazAAR	33400	32.80997534157122
c14bazAAR	33300	32.46232090599937
c14bazAAR	33200	33.16620553086104
c14bazAAR	33100	34.0884126616175
c14bazAAR	33000	33.520262067939676
c14bazAAR	32900	33.47978856614062
c14bazAAR	32800	34.128643079253656
c14bazAAR	32700	34.59214250595553
c14bazAAR	32600	34.342379992271034
c14bazAAR	32500	33.84612276194813
c14bazAAR	32400	33.65463927965003
c14bazAAR	32300	33.777274834440576
c14bazAAR	32200	34.93257295659985
c14bazAAR	32100	36.80973006432478
c14bazAAR	32000	38.75157513852675
c14bazAAR	31900	40.61069516514943
c14bazAAR	31800	42.25739809889491
c14bazAAR	31700	44.56740932218101
c14bazAAR	31600	48.024197416126725
c14bazAAR	31500	50.92956761525516
c14bazAAR	31400	52.14451810765001
c14bazAAR	31300	55.326023239901595
c14bazAAR	31200	70.27703192239449
c14bazAAR	31100	80.2774047553046
c14bazAAR	31000	63.05466448516124
c14bazAAR	30900	54.432763134402045
c14bazAAR	30800	48.81734564374254
c14bazAAR	30700	46.99895196926376
c14bazAAR	30600	47.04371558175727
c14bazAAR	30500	47.22387357284324
c14bazAAR	30400	47.05987096724023
c14bazAAR	30300	49.82700997592694
c14bazAAR	30200	53.40384143759917
c14bazAAR	30100	55.35099865256216
c14bazAAR	30000	55.46058204689224
c14bazAAR	29900	44.7608762770601
c14bazAAR	29800	38.024839547404845
c14bazAAR	29700	36.3903678311205
c14bazAAR	29600	35.545714720665934
c14bazAAR	29500	35.19448111428822
c14bazAAR	29400	35.255671566059
c14bazAAR	29300	35.265962409113115
c14bazAAR	29200	42.866281867653875
c14bazAAR	29100	39.29106262648439
c14bazAAR	29000	39.16191732865668
c14bazAAR	28900	40.00596492062385
c14bazAAR	28800	41.597177569964046
c14bazAAR	28700	40.998280566948765
c14bazAAR	28600	37.52270848766999
c14bazAAR	28500	36.34358643737143
c14bazAAR	28400	36.23790944538457
c14bazAAR	28300	36.60102117282185
c14bazAAR	28200	37.96331648540589
c14bazAAR	28100	39.027165142671365
c14bazAAR	28000	40.86988470399711
c14bazAAR	27900	44.78308771085587
c14bazAAR	27800	52.363826717865905
c14bazAAR	27700	54.051252072679056
c14bazAAR	27600	53.07385035343591
c14bazAAR	27500	53.26620259412213
c14bazAAR	27400	53.84181623311344
c14bazAAR	27300	56.30774514144872
c14bazAAR	27200	47.74716543176661
c14bazAAR	27100	39.871353899602376
c14bazAAR	27000	35.985793341416986
c14bazAAR	26900	33.085647513013654
c14bazAAR	26800	32.3216651451397
c14bazAAR	26700	33.30767159618126
c14bazAAR	26600	33.30375168361487
c14bazAAR	26500	33.3129818501495
c14bazAAR	26400	33.27170614532844
c14bazAAR	26300	34.79633746121018
c14bazAAR	26200	35.48538086752419
c14bazAAR	26100	35.41640208234795
c14bazAAR	26000	37.579667797625326
c14bazAAR	25900	40.11905913694884
c14bazAAR	25800	38.06832892895316
c14bazAAR	25700	34.82456584155068
c14bazAAR	25600	34.80639079286446
c14bazAAR	25500	35.615023975548226
c14bazAAR	25400	35.253609343722026
c14bazAAR	25300	36.77235473300389
c14bazAAR	25200	37.876422347360005
c14bazAAR	25100	37.92932477954448
c14bazAAR	25000	37.49131724103041
c14bazAAR	24900	36.50418997498862
c14bazAAR	24800	36.325303066899046
c14bazAAR	24700	36.26280738808474
c14bazAAR	24600	36.30440604966317
c14bazAAR	24500	37.05940304924517
c14bazAAR	24400	37.33292820272735
c14bazAAR	24300	38.28411843434838
c14bazAAR	24200	41.58873733446423
c14bazAAR	24100	43.88315857269403
c14bazAAR	24000	45.13261106674
c14bazAAR	23900	47.0414131687675
c14bazAAR	23800	53.14317413402596
c14bazAAR	23700	39.58295693566057
c14bazAAR	23600	39.49081546492444
c14bazAAR	23500	43.6498525771355
c14bazAAR	23400	39.68079842164088
c14bazAAR	23300	40.691866408612455
c14bazAAR	23200	44.832755122522606
c14bazAAR	23100	51.45452321232387
c14bazAAR	23000	61.59285345421959
c14bazAAR	22900	48.86860896390457
c14bazAAR	22800	41.83575346511176
c14bazAAR	22700	41.34509982021162
c14bazAAR	22600	40.81683489902431
c14bazAAR	22500	42.53193177201254
c14bazAAR	22400	48.206312223663865
c14bazAAR	22300	44.47100512518595
c14bazAAR	22200	42.33016472602991
c14bazAAR	22100	41.22492158609377
c14bazAAR	22000	41.500579065867754
c14bazAAR	21900	40.14355545227792
c14bazAAR	21800	36.94108928606528
c14bazAAR	21700	34.30613998798056
c14bazAAR	21600	34.09688401967524
c14bazAAR	21500	34.34506719616536
c14bazAAR	21400	34.752248035767046
c14bazAAR	21300	34.35651099380562
c14bazAAR	21200	34.120237882522964
c14bazAAR	21100	34.27771964404994
c14bazAAR	21000	35.79794739904991
c14bazAAR	20900	40.94530024875306
c14bazAAR	20800	40.511434617314414
c14bazAAR	20700	39.86131846369921
c14bazAAR	20600	40.34793750570311
c14bazAAR	20500	47.20325355825069
c14bazAAR	20400	45.61446344648317
c14bazAAR	20300	39.31507398125048
c14bazAAR	20200	35.21921868375494
c14bazAAR	20100	34.09202160206625
c14bazAAR	20000	34.690646435186395
c14bazAAR	19900	34.82231703048529
c14bazAAR	19800	32.797501321326415
c14bazAAR	19700	32.907607348940296
c14bazAAR	19600	34.02460156239226
c14bazAAR	19500	43.37987619942075
c14bazAAR	19400	42.14599622548581
c14bazAAR	19300	42.03094481664259
c14bazAAR	19200	42.58899361247096
c14bazAAR	19100	49.45549815869719
c14bazAAR	19000	56.35666982148265
c14bazAAR	18900	65.55150381408288
c14bazAAR	18800	66.46296654169645
c14bazAAR	18700	62.51882009466792
c14bazAAR	18600	56.970950125577495
c14bazAAR	18500	56.01663283537032
c14bazAAR	18400	54.73124479730296
c14bazAAR	18300	58.81559246998882
c14bazAAR	18200	80.81396911960535
c14bazAAR	18100	64.23287315147189
c14bazAAR	18000	60.940788246404125
c14bazAAR	17900	56.8737001573789
c14bazAAR	17800	51.68128779847191
c14bazAAR	17700	50.00235578531162
c14bazAAR	17600	49.98253413078418
c14bazAAR	17500	50.02547103545032
c14bazAAR	17400	55.76536450414718
c14bazAAR	17300	61.3433347722569
c14bazAAR	17200	61.63726891149183
c14bazAAR	17100	62.03880638733688
c14bazAAR	17000	67.3028169771851
c14bazAAR	16900	62.84559396629113
c14bazAAR	16800	61.45351622952042
c14bazAAR	16700	60.85047646955648
c14bazAAR	16600	60.633404950674745
c14bazAAR	16500	61.35290919431009
c14bazAAR	16400	63.08389092935548
c14bazAAR	16300	66.23498134097844
c14bazAAR	16200	65.43318568450653
c14bazAAR	16100	64.47785533231225
c14bazAAR	16000	66.09391234159348
c14bazAAR	15900	71.30662714738891
