short_name	publication_method	source_of_data	name	url	publication_year	m49_region	region	period	n_dates	open	license	maintained	last_updated	c14bazAAR	intchron	citations	remarks
Torres	Published dataset	Literature review	Torres Strait Radiocarbon Database	https://research.jcu.edu.au/data/published/7c74f590a2ba11edb22c156e754c4bda/	2022	Melanesia	Torres Strait archipelago	Any	300	TRUE	CC BY	TRUE	2023	FALSE	FALSE	@LinnenluckeEtAl2023	
14Canarias	Published dataset	Literature review	14Canarias	http://holoceno.iaas.ull.es/14Canarias_ULL/	2023	Southern Europe	Canary Islands	Any	700	TRUE	NA	TRUE	2024	FALSE	FALSE	@Pardo-GordoEtAl2023	
HoebeEtAl2023	Published dataset	Literature review	Hoebe et al. 2023	https://doi.org/10.1016/j.jasrep.2023.103944	2023	Western Europe; Northern Europe	Northwest Europe	Palaeolithic and Mesolithic	6500	FALSE	CC BY-NC-ND	FALSE	2023	FALSE	FALSE	@HoebeEtAl2023	Open access but under a non-open license (CC BY-NC-ND)
Bolivia	Published dataset	Literature review	Bolivian Radiocarbon Database	https://core.tdar.org/collection/71234	2023	South America	Bolivia	Any	3000	TRUE	CC BY	TRUE	2023	FALSE	FALSE	@Capriles2023	
PalaeolithicNorthernIberia	Published dataset	Literature review	An Annotated Compilation of Chronometric Dates for the Middle-Upper Palaeolithic Transition (45-30 ka BP) in Northern Iberia (Spain)	https://doi.org/10.5281/zenodo.8334722	2023	Southern Europe	Iberia	45000–30000 BP	200	TRUE	CC BY	FALSE	2023	FALSE	FALSE	@Diaz-RodriguezEtAl2023	
GroßmanEtAl2023	Published dataset	Literature review	Großman et al. 2023	https://doi.org/10.1371/journal.pone.0291956	2023	Eastern Europe	Czechia	3550–1550 BCE	3400	TRUE	CC BY	FALSE	2023	FALSE	FALSE	@GrossmannEtAl2023	
DIBAC	Published dataset	Literature review	Datations absolues, Inventaires archéologiques et Bibliographies en Afrique Centrale	https://doi.org/10.1080/0067270X.2023.2215649	2023	Middle Africa	Central Africa	Any	1800	FALSE	NA	TRUE	2023	FALSE	FALSE	@ClistEtAl2023	
UpdatedPeru	Published dataset	Literature review	Updated Peru archaeological radiocarbon database	https://doi.org/10.1016/j.quaint.2024.01.012	2024	South America	Peru	20,000–7000 uncal BP	500	TRUE	CC BY	FALSE	2023	FALSE	FALSE	@Rademaker2024	
BANADORA	Online database	Laboratory	Banque Nationale de Données Radiocarbone pour l'Europe et le Proche Orient	https://banadora.mom.fr/	NA	Northern Europe; Western Europe; Southern Europe; Western Asia	Europe & Southwest Asia	Any	NA	FALSE	NA	TRUE	NA	FALSE	FALSE	@BANADORA	Accessible online but only through a search box (no browsing)
ORAU	Online database	Laboratory	Oxford Radicoarbon Accelerator Unit database	https://c14.arch.ox.ac.uk/database	NA	NA	Global	Any	8500	TRUE	NA	TRUE	2024	FALSE	TRUE	@GillespieEtAl1984; @BronkRamseyEtAl2009	
EgyptDB	Online database	Literature review	Egyptian Radiocarbon Database	https://c14.arch.ox.ac.uk/egyptdb/db.php	NA	Northern Africa	Egypt	Any	1600	TRUE	NA	FALSE	2013	FALSE	TRUE	@RamseyEtAl2010; @DeeEtAl2012; @DeeEtAl2013	
NERC	Online database	Laboratory	NERC Radiocarbon Facility	https://c14.arch.ox.ac.uk/database	NA	NA	Global	Any	6100	TRUE	NA	NA	NA	FALSE	TRUE	@GarnettEtAl2023	The NERC Radiocarbon Facility no longer exists in that form, so unclear whether this is maintained.
ADIAS	Published dataset	Literature review	Abu Dhabi Islands Archaeological Survey Radiocarbon Database	http://www.adias-uae.com/radiocarbon.html	NA	Western Asia	Abu Dhabi	Any	100	TRUE	NA	FALSE	NA	FALSE	FALSE	@Al-Abyadh-Balghelam-Dalma-JebelEtAl	Less than 100 dates
IDEARQ	Online database	Literature review	Archivo de Dataciones Radiocarbónicas de la Prehistoria Recient (IDEARQ)	http://www.idearqueologia.org/c14/	2017	Southern Europe	Iberia	Later prehistory	NA	FALSE	CC BY-NC-SA	TRUE	2024	FALSE	FALSE	@UriarteGonzalezEtAl2017	Accessible online but no machine-readable index of all dates and non-open license (CC BY-NC-SA)
KIK-IRPA	Online database	Laboratory	Royal Institute for Cultural Heritage web based Radiocarbon database 	http://c14.kikirpa.be/	NA	NA	Global	Any	7300	TRUE	NA	TRUE	2024	FALSE	FALSE	@VanStrydonckDeRoock	
14Catalunya	Online database	Literature review	La base de dades radiocarbòniques de Catalunya	https://telearchaeology.org///c14/	NA	Southern Europe	Catalonia	Any	NA	TRUE	NA	FALSE	NA	FALSE	FALSE	@BarceloAlvarezEtAl2013	Website no longer functional, no archived copies known
